"Date","Time","Media Type","Mention URL","Mention Content","Sentiment","Country"
"2022-04-18 00:00:00","20:58:00 +0100 BST","Twitter","http://twitter.com/SaraKDonaldson1/status/1516144058724503564#1190009948706619406","@HastingsDirect just purchased car insurance, but there's no email confirmation and it won't let me into my account. Payment was taken, insurance confirmed. I need access to the documents ASAP. Please help","negative","Not available"
"2022-04-18 00:00:00","17:48:00 +0100 BST","Twitter","http://twitter.com/_daniellejj/status/1516096347635658757#590300062_1516081200309448704","@HastingsDirect I have. Although I don’t expect a reply seems you all just good at ignoring customers and complaints and passing the blame to the garage/repairs🙃 you’re my insurance that I pay for yet I’m to one chasing you, Vizion and the garage","neutral","Not available"
"2022-04-18 00:00:00","16:30:00 +0100 BST","Twitter","http://twitter.com/EdCostello94/status/1516076683882860551#789022456182956032","don’t understand how you can be a loyal customer with a car insurance company then when your renewal comes in they want to charge you MORE than your current policy and quotes using the same details come in almost £20 cheaper @HastingsDirect is this how to treat loyal customers?","neutral","United Kingdom"
"2022-04-18 00:00:00","14:29:00 +0100 BST","Twitter","http://twitter.com/Richy_GITC/status/1516046343361474560#1359814125917007872","So the lad I renewed my car insurance with at @askesure made a mistake and just called me today to tell me that fixing the mistake has knocked £70 off my car insurance. He even apologised for the mistake. Was a good price anyway! Thanks Esure.","negative","Not available"
"2022-04-18 00:00:00","13:01:00 +0100 BST","Twitter","http://twitter.com/_daniellejj/status/1516023996071952386#590300062","Wouldn’t recommend @HastingsDirect to anyone! Over 3 weeks since my accident and still no courtesy car! I have phoned them everyday with the promise managers would call me back🙃 no one has called me at all the discuss my car or my claim","negative","Not available"
"2022-04-18 00:00:00","10:39:00 +0100 BST","Twitter","http://twitter.com/we_years/status/1515988353660948480#1321742193992912897_1515666388119171074","@SwintonGroup I paid this company £300 to cover my car for a year. I driver hit me 9 months ago and due the Swintons poor choice of underwriters MARKERSTUDY is completely ignoring me. This amounts to theft. Paid money. Received nothing. My car is still broken and injury claim has gone nowhere.","negative","Not available"
"2022-04-18 00:00:00","09:08:00 +0100 BST","Twitter","http://twitter.com/AmoInTheKnow/status/1515965451553370114#1058831451716808704","@HastingsDirect You have auto renewed my car insurance despite my specific request that this be removed from my account last year. This happened with another insurance I took out with you a few years ago 🤦🏼‍♀️ I’m very annoyed! Please can you rectify ASAP!","neutral","United Kingdom"
"2022-04-18 00:00:00","07:23:00 +0100 BST","Twitter","http://twitter.com/El_Nino96/status/1515939018453647362#631767235","done renew insurance motor via https://bjak.my/en","neutral","Not available"
"2022-04-17 00:00:00","14:42:00 +0100 BST","Twitter","http://twitter.com/LondonJobsLive/status/1515687045498171392#1512311033737719811","Business Analyst - Lloyd's Market Insurance - Outside IR35 - London https://www.jobibo.co.uk/jobs/business-analyst-lloyds-market-insurance-outside-ir35-london/565367864-2/?utm_source=dlvr.it&utm_medium=twitter - Click to apply #JobsInLondon #Jobibo #LondonJobsLive","neutral","United Kingdom"
"2022-04-17 00:00:00","11:41:00 +0100 BST","Twitter","http://twitter.com/kilomedic/status/1515641518438109185#514661355","Can’t advise people enough don’t use @askesure for your car insurance. 24 year loyal customer, no claims, got involved in a totally non fault accident, hit from behind whilst waiting in traffic. Car written off, buy the same model as before and now refuse to insure me. #useless","neutral","United Kingdom"
"2022-04-16 00:00:00","16:31:00 +0100 BST","Twitter","http://twitter.com/TorrealbaAmador/status/1515352145993818121#1511679032726806532","RAC insurance left me for months without a car or a payout https://www.theguardian.com/money/2022/apr/11/rac-insurance-left-me-for-months-without-a-car-or-a-payout?CMP=share_btn_tw","neutral","United Kingdom"
"2022-04-16 00:00:00","16:20:00 +0100 BST","Twitter","http://twitter.com/we_years/status/1515349390692691979#1321742193992912897_1514579728979701762","@SwintonGroup I paid this company £300 to cover my car for a year. I driver hit me 9 months ago and due the Swintons poor choice of underwriters MARKERSTUDY is completely ignoring me. This amounts to theft. Paid money. Received nothing. My car is still broken and injury claim has gone nowhere.","negative","Not available"
